Day,Hours,Minutes,Voltage (V),Current (A),Power (W),Power Factor,Frequency (Hz),Energy (kWh),Inside Temperature (°C),Outside Temperature (°C),Inside Humidity (%),Outside Humidity (%)
2023-06-01,19,52,231.5,6.94,1285.0,0.8,49.8,7088.0,27.2,28.7,75.0,79.7
2023-06-01,19,52,231.5,6.94,1285.0,0.8,49.8,7088.0,27.2,28.7,75.0,79.7
2023-06-02,14,04,231.2,7.38,1416.0,0.83,49.9,7155.0,27.4,28.7,76.1,80.1
2023-06-02,14,04,231.2,7.38,1416.0,0.83,49.9,7155.0,27.4,28.7,76.1,80.1
2023-06-03,15,40,230.9,7.45,1428.0,0.83,49.9,7197.0,27.6,28.5,76.0,79.1
2023-06-03,15,40,230.9,7.45,1428.0,0.83,49.9,7197.0,27.6,28.5,76.0,79.1
2023-06-04,18,42,231.0,7.05,1417.0,0.87,50.0,7272.0,27.5,28.5,74.4,78.3
2023-06-04,18,42,231.0,7.05,1417.0,0.87,50.0,7272.0,27.5,28.5,74.4,78.3
2023-06-05,06,15,231.3,6.79,1398.0,0.89,49.9,7273.0,27.3,28.1,74.2,78.6
2023-06-05,06,15,231.3,6.79,1398.0,0.89,49.9,7273.0,27.3,28.1,74.2,78.6
2023-06-06,13,40,231.0,6.45,1356.0,0.91,49.9,7313.0,27.4,28.5,74.4,76.9
2023-06-06,13,40,231.0,6.45,1356.0,0.91,49.9,7313.0,27.4,28.5,74.4,76.9
2023-06-07,23,14,231.3,6.94,1509.0,0.94,49.9,7313.0,27.3,28.8,75.6,76.7
2023-06-07,23,14,231.3,6.94,1509.0,0.94,49.9,7313.0,27.3,28.8,75.6,76.7
2023-06-08,02,37,230.9,6.62,1360.0,0.89,49.8,7322.0,27.3,29.1,77.2,76.3
2023-06-08,02,37,230.9,6.62,1360.0,0.89,49.8,7322.0,27.3,29.1,77.2,76.3
2023-06-09,02,28,231.3,6.76,1407.0,0.9,49.6,7385.0,27.5,29.5,76.4,77.3
2023-06-09,02,28,231.3,6.76,1407.0,0.9,49.6,7385.0,27.5,29.5,76.4,77.3
2023-06-10,05,37,230.9,7.01,1392.0,0.86,49.5,7418.0,27.3,29.2,75.0,78.5
2023-06-10,05,37,230.9,7.01,1392.0,0.86,49.5,7418.0,27.3,29.2,75.0,78.5
2023-06-11,13,55,230.5,6.9,1416.0,0.89,49.6,7488.0,26.9,29.4,74.6,78.4
2023-06-11,13,55,230.5,6.9,1416.0,0.89,49.6,7488.0,26.9,29.4,74.6,78.4
2023-06-12,05,59,230.7,7.06,1384.0,0.85,49.5,7525.0,26.5,29.5,75.6,77.1
2023-06-12,05,59,230.7,7.06,1384.0,0.85,49.5,7525.0,26.5,29.5,75.6,77.1
2023-06-13,23,08,231.1,6.6,1281.0,0.84,49.3,7531.0,26.4,29.3,77.5,78.1
2023-06-13,23,08,231.1,6.6,1281.0,0.84,49.3,7531.0,26.4,29.3,77.5,78.1
2023-06-14,15,55,231.1,6.88,1272.0,0.8,49.2,7542.0,26.3,29.5,78.3,78.8
2023-06-14,15,55,231.1,6.88,1272.0,0.8,49.2,7542.0,26.3,29.5,78.3,78.8
2023-06-15,11,47,231.5,6.62,1241.0,0.81,49.4,7607.0,26.7,29.5,78.6,78.6
2023-06-15,11,47,231.5,6.62,1241.0,0.81,49.4,7607.0,26.7,29.5,78.6,78.6
2023-06-16,07,06,231.3,6.58,1218.0,0.8,49.5,7654.0,26.2,29.7,76.8,78.3
2023-06-16,07,06,231.3,6.58,1218.0,0.8,49.5,7654.0,26.2,29.7,76.8,78.3
2023-06-17,13,26,231.6,6.5,1204.0,0.8,49.5,7751.0,25.7,29.3,77.7,77.4
2023-06-17,13,26,231.6,6.5,1204.0,0.8,49.5,7751.0,25.7,29.3,77.7,77.4
2023-06-18,03,57,231.7,6.98,1294.0,0.8,49.6,7767.0,25.9,29.0,76.2,78.3
2023-06-18,03,57,231.7,6.98,1294.0,0.8,49.6,7767.0,25.9,29.0,76.2,78.3
2023-06-19,12,05,232.0,6.69,1273.0,0.82,49.5,7858.0,26.3,28.7,75.9,76.5
2023-06-19,12,05,232.0,6.69,1273.0,0.82,49.5,7858.0,26.3,28.7,75.9,76.5
2023-06-20,20,51,231.6,6.31,1228.0,0.84,49.6,7888.0,26.0,28.9,77.3,77.0
2023-06-20,20,51,231.6,6.31,1228.0,0.84,49.6,7888.0,26.0,28.9,77.3,77.0
2023-06-21,01,49,231.4,6.37,1297.0,0.88,49.7,7966.0,26.2,28.8,75.6,78.7
2023-06-21,01,49,231.4,6.37,1297.0,0.88,49.7,7966.0,26.2,28.8,75.6,78.7
2023-06-22,13,53,231.4,6.62,1409.0,0.92,49.6,8028.0,26.1,28.7,74.6,78.7
2023-06-22,13,53,231.4,6.62,1409.0,0.92,49.6,8028.0,26.1,28.7,74.6,78.7
2023-06-23,09,28,231.8,6.5,1431.0,0.95,49.4,8043.0,26.3,28.4,73.8,79.9
2023-06-23,09,28,231.8,6.5,1431.0,0.95,49.4,8043.0,26.3,28.4,73.8,79.9
2023-06-24,13,04,231.3,6.45,1447.0,0.97,49.6,8113.0,26.6,28.3,72.4,80.6
2023-06-24,13,04,231.3,6.45,1447.0,0.97,49.6,8113.0,26.6,28.3,72.4,80.6
2023-06-25,13,21,231.8,6.48,1457.0,0.97,49.5,8173.0,26.1,28.4,73.9,79.7
2023-06-25,13,21,231.8,6.48,1457.0,0.97,49.5,8173.0,26.1,28.4,73.9,79.7
2023-06-26,14,53,231.5,6.83,1502.0,0.95,49.6,8254.0,25.8,28.3,75.4,81.3
2023-06-26,14,53,231.5,6.83,1502.0,0.95,49.6,8254.0,25.8,28.3,75.4,81.3
2023-06-27,14,31,231.1,6.49,1455.0,0.97,49.4,8265.0,26.1,28.0,74.5,80.2
2023-06-27,14,31,231.1,6.49,1455.0,0.97,49.4,8265.0,26.1,28.0,74.5,80.2
2023-06-28,20,17,230.8,6.84,1579.0,1.0,49.4,8336.0,25.7,28.5,73.5,78.3
2023-06-28,20,17,230.8,6.84,1579.0,1.0,49.4,8336.0,25.7,28.5,73.5,78.3
2023-06-29,08,51,230.4,7.05,1608.0,0.99,49.4,8374.0,25.2,28.4,73.9,78.8
2023-06-29,08,51,230.4,7.05,1608.0,0.99,49.4,8374.0,25.2,28.4,73.9,78.8
2023-06-30,00,41,230.6,7.27,1676.0,1.0,49.3,8449.0,25.2,28.1,73.4,79.3
2023-06-30,00,41,230.6,7.27,1676.0,1.0,49.3,8449.0,25.2,28.1,73.4,79.3
2023-07-01,16,31,230.5,7.61,1719.0,0.98,49.5,8482.0,25.1,28.2,74.7,80.5
2023-07-01,16,31,230.5,7.61,1719.0,0.98,49.5,8482.0,25.1,28.2,74.7,80.5
2023-07-02,14,14,231.0,7.24,1622.0,0.97,49.4,8517.0,25.4,28.1,76.5,81.9
2023-07-02,14,14,231.0,7.24,1622.0,0.97,49.4,8517.0,25.4,28.1,76.5,81.9
2023-07-03,07,20,231.4,6.79,1540.0,0.98,49.4,8530.0,25.3,28.5,77.8,80.8
2023-07-03,07,20,231.4,6.79,1540.0,0.98,49.4,8530.0,25.3,28.5,77.8,80.8
